"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"OR2I1",700.747115889171,4.09618498587667,0.270541562793317,4.4346736701113e-53,9.77791462873321e-51,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV29-1",26.1904570489301,3.43004342065892,0.225972346511903,6.25523666040724e-53,1.36258649180919e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IFNG",45.0279792818657,5.42098025838673,0.358567557460107,7.35092682585845e-53,1.58219948823239e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV12-1",16.7748116165248,3.97148379360286,0.261160241834875,8.25750114661501e-53,1.75641906742117e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL12RB1",225.206302913018,2.32671838423401,0.154442933211078,1.82116742692037e-52,3.82868686961863e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TMC8",775.987143265456,2.21084466398024,0.147260187478469,3.93195562395374e-52,8.17123651506708e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL18BP",920.52714707017,1.95268727938499,0.12985708836089,4.42271290185301e-52,9.08666468926163e-50,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GVINP1",345.764224532414,2.90655093082466,0.194190106030922,8.63266294201745e-52,1.75369152799635e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TIFAB",67.0513499002061,4.16852154987427,0.27797907802172,9.14275823597222e-52,1.8366785434042e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IRF4",406.146182944804,3.87811170821999,0.259492235405416,1.06832186313756e-51,2.12255596544254e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV9",20.6858122126639,3.73148822767256,0.249550680210164,1.12446093513541e-51,2.20981018557046e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRG-AS1",106.539913402213,2.67810503143894,0.179352212676209,1.6474492567711e-51,3.20278307122811e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GBP5",2085.72071507659,3.63559972545761,0.244233983027367,2.65678972753887e-51,5.11008066743646e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"KLRB1",89.2936439230138,2.82667947198147,0.18996130398085,3.22176571370473e-51,6.12419543353625e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV12-2",23.7816572701126,3.5666720554752,0.238939622821686,3.25178518594845e-51,6.12419543353625e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD8B",211.697913059254,3.53127783214315,0.237736178724429,4.92278949991476e-51,9.17567362458339e-49,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"FTH1P22",21.6731677073018,3.47981726515761,0.233947197243508,7.08286988775206e-51,1.30671722010773e-48,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"MAP4K1",371.08047417419,2.43008459016144,0.164048228972906,9.78431744729441e-51,1.78687332774831e-48,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV4-2",24.0617082156931,4.11609444584444,0.278576764439983,2.78189258377589e-50,5.02966179146681e-48,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV8-2",17.1574997859719,3.54369152967517,0.240366736980488,3.82079116783452e-50,6.83959448657903e-48,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CCR2",356.486376623127,3.37466127096556,0.229627152135802,4.53445367730468e-50,8.03754142016358e-48,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SNX20",525.598440796679,2.41092099522505,0.164653733842567,1.01309093535684e-49,1.7783188457526e-47,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD48",358.72689868325,2.58989322922865,0.177307947489865,1.72915916021622e-49,3.00607669391435e-47,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV17",23.5794643362601,4.25045730886882,0.291152730415499,2.48433948761864e-49,4.27779599391857e-47,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LAMP3",562.293264270214,1.5967786397182,0.21592100685285,5.16603288532055e-49,8.81149760062223e-47,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LTA",73.5313329621896,3.0214520716641,0.208097667687596,5.46999552356569e-49,9.24275879122127e-47,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV1-47",2366.96814019942,5.84094568178403,0.40298634316879,7.44814092993517e-49,1.24687396308544e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CD79A",557.323091076289,4.46884841192573,0.308704588184915,1.03978735237494e-48,1.72471149825127e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SLFN12L",40.1061584431517,2.96740961299947,0.205449328379948,1.63260609057902e-48,2.68341073796989e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ACAP1",592.615485317479,2.31674658361671,0.160462577541562,1.93129489128299e-48,3.11766175307111e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV1-18",4442.02145422301,6.40033696962862,0.443523844670187,1.92486706491645e-48,3.11766175307111e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"MAL",42.2666412807599,3.32536924044643,0.230401870568963,2.10985621109013e-48,3.37576993774421e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
