"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"LTA",112.880750961938,3.23662662541552,0.318544779912946,2.12175149850593e-25,2.91894698519648e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV3-1",22.9209876782645,4.27741705824651,0.419592922228034,2.76260307623324e-25,3.77179035150572e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"KLRD1",282.08863583092,2.58239501313712,0.254868519513938,2.78361255105575e-25,3.77189965376892e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"RCSD1",1339.82478719461,2.0284546185509,0.199750842858356,3.2906693913197e-25,4.42570475898236e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV29DV5",21.6944376078991,3.54604559815571,0.349723595061805,4.05173660556349e-25,5.40891830410854e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PLCG2",1085.58547752706,2.0545727621445,0.202965602990999,4.28754552639231e-25,5.64015660413446e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"LOC105369213",1085.58547752706,2.0545727621445,0.202965602990999,4.28754552639231e-25,5.64015660413446e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TLR10",142.232203806442,3.74532832177871,0.371846816281083,4.9766455667333e-25,6.49921060896141e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"ITGAL",1918.35538600288,2.54916077789432,0.253161075921364,5.66351821034986e-25,7.34301620049821e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAF3IP3",490.962521245022,2.51020805900123,0.249395402333057,5.85204308102909e-25,7.5332514575933e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CSF2RB",1003.74972106178,2.32493063377799,0.231122531058349,6.03223926995342e-25,7.71014298745394e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"KLRC1",45.8282421439367,3.53133440003529,0.350784982025671,6.53577411379029e-25,8.29490993512173e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD40LG",111.298246219452,3.27308988074679,0.32594634857347,6.79601477099457e-25,8.56487959460588e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV27",30.8615646123928,4.0089787173082,0.395358391503099,7.13543954727606e-25,8.93020080007008e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"JAK3",1176.42450403309,2.28382977571683,0.227325924164315,7.20851839127585e-25,8.95944265155678e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV2",25.4654385217459,4.2550190786469,0.420243303630539,7.35695640804413e-25,9.08130605381995e-23,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SASH3",1206.3630327316,2.45125379153884,0.244288621081881,8.40140223440259e-25,1.03000048345853e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CCR5",995.565012552507,2.85776963239898,0.285297409810112,8.68017056001616e-25,1.05698671508521e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"CD74",132055.909896026,2.09798111722012,0.209833694192947,9.18677775923288e-25,1.1037607251793e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"LTB",918.797632466636,4.20998974993331,0.421384949171547,9.14007956147263e-25,1.1037607251793e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV21",21.1093134283869,3.95917685396764,0.394512553889126,1.03267089834675e-24,1.23250297549703e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV9-2",26.8800930741493,4.33069952378538,0.429392379176614,1.22649821797452e-24,1.45420729502216e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
