"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"CASS4",122.980582251011,1.44547169691236,0.107315003344088,2.24223974550349e-42,7.21393674983823e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ITM2A",1424.27235476575,1.60874093015907,0.119363541858295,2.85161676806356e-42,9.15815499053011e-41,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV3-20",4772.17149426315,2.99732433156265,0.223471634309664,3.99194781385052e-42,1.27976316327155e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TOX-DT",33.5630222881804,1.74756254106061,0.130386989024816,5.74105450352007e-42,1.83723923287294e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GPSM3",1608.01630258456,1.38701872846385,0.103458179786763,6.85302777678266e-42,2.18920882023275e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV4-1",3779.63074469502,3.07573707746076,0.230752705428706,1.17236537459257e-41,3.73851990212389e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TNFSF18",27.3236920634241,1.9924189365776,0.149603255080062,1.72921562075114e-41,5.5045172379078e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LAIR2",17.9886124347284,2.6556525446575,0.19970319140286,1.73802115506952e-41,5.52280701194537e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LPXN",1158.73216523696,1.16471911775313,0.0873576435125995,2.02776030468557e-41,6.43216972570647e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"BIRC3",2180.92635574862,1.7950878839068,0.134899116556478,2.35626966969123e-41,7.46110724004508e-40,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SYNE3-AS1",14.0639321966332,1.84059278828019,0.13900135442868,3.34955803470832e-41,1.05692610084704e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV5-78",16.9359193942015,2.2308380660247,0.244516120897574,3.41192523492453e-41,1.07472667652972e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"BATF3",99.4927797416989,1.30820806241105,0.0985923380222547,4.51100203259642e-41,1.41845079592914e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"B2M",132838.921518589,1.16214137782115,0.0859657088585395,4.99961572798429e-41,1.56935763955458e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HLA-DQB1",6762.08526433807,1.60685349189017,0.120669143774273,5.6573612128079e-41,1.77273806475642e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"MEOX1",396.832138216876,2.35640433901711,0.178504690581766,6.06454889167487e-41,1.89703713944263e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SEL1L3",1630.61135409777,1.60588519111163,0.121072027516008,6.08413016762362e-41,1.8998696435197e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV1-16",621.440293179995,3.20347119667348,0.243052908641683,7.3650271358896e-41,2.29587866624648e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SH2D3C",1123.25752978519,1.10141010766688,0.0827693885380077,7.70100968613282e-41,2.39647454870709e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ABI3BP",1694.55864987438,1.82518642786289,0.138106721297307,7.99488465334176e-41,2.48364325487376e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"KCNJ10",63.9625187092989,1.96715824923162,0.149263762026887,9.55293158650892e-41,2.96255776984363e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GPR65",306.6958002916,1.23685081274421,0.0934813738185452,1.13398808562327e-40,3.51069484689785e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV2-70",175.20388225148,4.45828545163334,0.262475719984155,1.34692110340246e-40,4.16277037590941e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"INMT",274.362470195435,1.780471254056,0.135877601767777,2.56165577319028e-40,7.9034743675746e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD1E",175.239741486805,2.42180979348101,0.184986143166228,2.59409416756784e-40,7.98989857174608e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CHST2",369.564377923041,1.09588609530558,0.0832572798649355,2.64505044829041e-40,8.13296687243504e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LGALS9",2830.58598162985,1.2600522652723,0.0956613331183583,3.22001217551654e-40,9.85050843320305e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LGALS9C",2830.58598162985,1.2600522652723,0.0956613331183583,3.22001217551654e-40,9.85050843320305e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LILRB3",179.04736229215,1.40246590817507,0.106862243266163,3.27452277570943e-40,9.94980834659587e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LOC102725035",179.04736229215,1.40246590817507,0.106862243266163,3.27452277570943e-40,9.94980834659587e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LOC107987425",179.04736229215,1.40246590817507,0.106862243266163,3.27452277570943e-40,9.94980834659587e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LOC107987462",179.04736229215,1.40246590817507,0.106862243266163,3.27452277570943e-40,9.94980834659587e-39,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV2-11",1084.52974149404,2.89595758869914,0.221829054578787,3.63036853640738e-40,1.10125246577507e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"PLCXD2",94.8346338092462,1.7372216556065,0.132754879598277,3.77530590828379e-40,1.14329691843312e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCDC88B",896.230403863891,1.68881086246576,0.129460910785847,5.87863484920523e-40,1.77727772853108e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"P2RX1",93.2830356651573,1.9495074054723,0.149723954669792,7.45997499016395e-40,2.25159011032557e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IL10",31.2155639636137,1.5193578169243,0.116476038744127,7.47716712884151e-40,2.25301151099266e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CARD16",284.75761440215,1.45484026508244,0.111671205686307,9.14676502686742e-40,2.7514993661655e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"C1orf54",443.585035490854,0.908014083277434,0.0692068747259522,9.51861993662833e-40,2.85859519527795e-38,"LumA","High_Q4_vs_Low_Q1","NS",FALSE
"WARS1",5916.97907123814,0.791481786144053,0.0599921665310838,9.98687993733394e-40,2.99423913602891e-38,"LumA","High_Q4_vs_Low_Q1","NS",FALSE
"TAMALIN",471.389310655164,1.34172429257175,0.102807486085107,1.09121491777927e-39,3.26622521575423e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LILRB1",408.173155463176,1.22502981468401,0.094089746249605,1.1279308877793e-39,3.37053387310077e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-23",2086.74986825315,2.90340680362377,0.223742387160225,1.26606422810299e-39,3.77705673603815e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CSF2RA",536.03871115443,1.25696962512935,0.0964080319051734,1.50615562994315e-39,4.48590808000724e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CYRIA",629.419831902994,1.04265052524793,0.0800181791774505,2.15137059797838e-39,6.39704908120459e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TAP1",4727.43283305971,1.25968362011769,0.0968674851784721,2.56777962284888e-39,7.62267342315779e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV1-69D",477.34887145173,3.14598584765694,0.244109699336431,3.27915623395773e-39,9.7184714066836e-38,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HVCN1",235.889513627222,1.26738231869835,0.09800707476238,4.97183485463315e-39,1.46868489838418e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CD180",424.571371772223,1.40878414138885,0.109017971067707,5.13924773335193e-39,1.51565820815799e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV5-45",147.4326718479,3.07340307448625,0.238011144800308,5.42653704528252e-39,1.59777434144053e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ARHGAP45",2524.80866520834,1.26605551241606,0.0981731226053355,1.0931137904495e-38,3.2080667973696e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CTSC",4258.39304423617,1.13242260385945,0.0876180401154652,1.17570440036768e-38,3.4448520652981e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-43",174.051167015751,3.3324959663742,0.26065284881149,1.21603980027214e-38,3.55726132173613e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV1-12",293.744667607593,2.88172371349866,0.225352797779384,1.30075235003332e-38,3.79891248636753e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCL8",139.955510204653,1.94434897401326,0.151837839843605,1.49577039743369e-38,4.36141517015843e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-53",222.96111606513,2.97772413905525,0.233174471508236,1.56097097519482e-38,4.54418792440182e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HCP5",2612.6406254428,1.3829493045755,0.108125879500712,2.11883636588619e-38,6.15827336036713e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"EVI2A",383.704264756758,1.24320973231081,0.0973029895468631,2.55726726883242e-38,7.42059757799941e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LOC105375977",32.8201034384662,2.19889067085361,0.172659532240527,2.68760030168363e-38,7.7862757375743e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ITGB2",5482.07871791888,1.3796893866994,0.108436069616426,2.760153150001e-38,7.98365451993079e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"SPI1",1366.06056741853,1.19992452291742,0.0935064104305601,2.78152611798865e-38,8.03260238457233e-37,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"MEOX2",294.003940463895,1.80099356094979,0.141675052805372,4.27048427413526e-38,1.22931372669645e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV7-46",277.538958384883,2.99867630228524,0.236232483050237,4.26460450128642e-38,1.22931372669645e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCL21",828.35019514856,2.84151745775465,0.224260797830116,6.17966188681962e-38,1.77606237890458e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"RIN3",1138.82841594495,0.907432723563452,0.0711174500672914,1.26865554277442e-37,3.64037581741422e-36,"LumA","High_Q4_vs_Low_Q1","NS",FALSE
"PRKAR1B-AS1",39.6199670850609,1.2792200985766,0.101144099034133,1.28059973143048e-37,3.66881659564902e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"HLA-B",82035.3937618149,1.30293259536889,0.101662320726357,1.34532662381732e-37,3.84814583728664e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TNFAIP8",1252.88970849953,1.17735493357927,0.0930482571956575,2.61289583017415e-37,7.46205013272361e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"TACR1",174.831402620047,2.08601054312164,0.166202274948012,3.05384499249326e-37,8.70755896832715e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHJ4",18.8951336433121,2.96770638152852,0.236716168421411,3.10753664474306e-37,8.84667648280244e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV1OR15-9",14.2461953591146,2.98157146943775,0.237629040254153,3.17633240049998e-37,9.0282871648227e-36,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV3-19",1539.81787622961,3.01673331315176,0.240878263369858,3.74607730645247e-37,1.06309668717234e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CCL18",287.114375468279,2.95582064122073,0.236121019095508,3.8562374474856e-37,1.09264096844062e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ATOH8",201.159050988578,2.03200468618979,0.162293327783062,4.44081580392298e-37,1.25630539882454e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CYTIP",892.143085328639,1.83088180934546,0.146051088990382,4.76716347416883e-37,1.34651852183526e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV3-9",157.276479766169,3.17208348099453,0.255095769757214,5.42084591148007e-37,1.52876324775475e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"APOL1",5232.67892586749,1.19681901101367,0.0951265126234219,6.58203171811172e-37,1.8533399450889e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"CTSS",5376.49371287967,1.31693763547274,0.105111295965439,6.65443759227933e-37,1.87080909817834e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-66",117.905690293464,3.12254321910809,0.250461198476362,7.33831020816431e-37,2.05986253417041e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"ITGAD",55.727552697981,2.047325085631,0.164305667679353,9.45808185801663e-37,2.65075961887177e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LINC01679",43.8042863346555,1.41545685173077,0.11374078991915,1.47378505750738e-36,4.12408472913963e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"C7",1846.58596482756,2.6715574947325,0.215065091143252,1.50762922851521e-36,4.21226005347849e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"GPBAR1",38.8223588814466,1.43698827322279,0.115537127428919,1.78653045692483e-36,4.98378488671348e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"LILRA5",53.4627616597138,1.56421572911721,0.125928474746411,2.19508100637692e-36,6.11404584631128e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV2D-30",23.5307986283436,3.59052537441599,0.290287502529247,2.51557280056007e-36,6.98516515035518e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV3-25",1420.37206242141,3.98558273981419,0.252599883142186,2.60162793529909e-36,7.21302344150741e-35,"LumA","High_Q4_vs_Low_Q1","UP",TRUE
