"gene","n_subtypes","subtypes_list","mean_lfc"
"CDHR3",1,"LumB",-1.82846676183334
"SERPINB5",1,"Her2",-1.82194424255601
"CCKBR",1,"Basal",-1.8218663849893
"RUNDC3A",1,"LumA",-1.81971804343186
"GRIK3",1,"Normal",-1.81696812990175
"CSDC2",1,"Basal",-1.81370717975594
"MXRA8",1,"Basal",-1.81286550365027
"ARHGDIG",1,"Basal",-1.8089100085033
"SEC14L2",1,"Her2",-1.80849993654579
"SLC7A2",1,"Her2",-1.80724542815841
"COL11A2",1,"Basal",-1.8054847942529
"PNLDC1",1,"Basal",-1.79752736023205
"SLC7A3",1,"Basal",-1.79191517168562
"TM7SF2",1,"Basal",-1.7907303044091
"LINC00987",1,"Basal",-1.78882670730313
"ASTN1",1,"Basal",-1.7868599032341
"LOC105375440",1,"Her2",-1.77974303136801
"SOSTDC1",1,"Basal",-1.7778449338636
"LOC107986163",1,"Basal",-1.7744668377777
"ADAMTS16",1,"Basal",-1.76472440195262
"ACBD7",1,"Normal",-1.75793943398675
"RAD21-AS1",1,"Her2",-1.7577691120479
"TCIM",1,"LumB",-1.7535175326652
"CDK12",1,"Her2",-1.75285674708142
"CLDN9",1,"Basal",-1.74744914603606
"ANXA9",1,"Her2",-1.74623694027818
"MATN3",1,"Basal",-1.74378295574507
"TNFSF15",1,"Her2",-1.7426110245882
"KLK4",1,"Basal",-1.73840488590433
"MESP2",1,"Basal",-1.7382643240463
"AGR2",1,"Her2",-1.72283151426344
"NEAT1",1,"Basal",-1.72246788530309
"PCDHGB4",1,"Her2",-1.72064525547252
"GRIA4",1,"Normal",-1.71938935378426
"GARIN5A",1,"Normal",-1.71725445579398
"SYCE1L",1,"Basal",-1.71326409794428
"CFAP276",1,"Basal",-1.7067898310048
"PHGDH",1,"Basal",-1.70049368386931
"SPOCK1",1,"Basal",-1.69872582921972
"ADGRV1",1,"Basal",-1.69558860025489
"ATP8A2",1,"Basal",-1.68867506578974
"MFSD6L",1,"Her2",-1.68637549828768
"STMND1",1,"Basal",-1.68062314344477
"ZNF350-AS1",1,"Her2",-1.6784428065996
"AQP5-AS1",1,"Basal",-1.67722278365486
"RPL26P30",1,"Normal",-1.67647884560792
"HTR1F",1,"LumA",-1.67547569377935
"SERPINA12",1,"Basal",-1.67157379389451
"NRG2",1,"Normal",-1.67132330326878
"TMSB15A",1,"Basal",-1.67107276771563
"ABHD12B",1,"Basal",-1.667184380357
"RET",1,"Her2",-1.66702420306406
"SLC22A17",1,"Basal",-1.66387370547169
"DLG2",1,"Basal",-1.65504462325694
