"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"PIM2",1809.14548147987,1.3562602470848,0.241130366873455,1.49923484167856e-09,2.05247521393736e-07,"Normal","IC1_vs_IC2","UP",TRUE
"IL21R",287.152137207846,2.20803124982653,0.394249965942211,1.69065938885892e-09,2.29713577564433e-07,"Normal","IC1_vs_IC2","UP",TRUE
"NIBAN3",263.882300872841,3.1120332720744,0.554193326760969,1.73011449902127e-09,2.33320142625473e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV26-1",16.0613606286961,2.5071514905264,0.450162834810222,1.92666711425898e-09,2.54137236655285e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAC",2295.95140054345,1.81223654080339,0.324937181863533,1.9239980518631e-09,2.54137236655285e-07,"Normal","IC1_vs_IC2","UP",TRUE
"GIMAP5",71.4834417801698,1.43689552053002,0.257564144571613,1.96905988346069e-09,2.57846964884189e-07,"Normal","IC1_vs_IC2","UP",TRUE
"PTPN7",781.067861204574,1.75528882067648,0.31544669855031,2.05914718246789e-09,2.67703947729332e-07,"Normal","IC1_vs_IC2","UP",TRUE
"C11orf21",110.67190517703,1.81702653403806,0.326912769217885,2.112823613832e-09,2.70786067557149e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV10-3",16.9445327041402,2.57486356990224,0.463113781620054,2.10578878958389e-09,2.70786067557149e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV19",27.184457313885,2.10849752953216,0.380854229281122,2.26515064271946e-09,2.88264346933686e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TNFRSF13C",370.083971819561,2.56050351781417,0.461796006097804,2.41462936227991e-09,3.02296836991363e-07,"Normal","IC1_vs_IC2","UP",TRUE
"GFI1",157.747064577917,1.4464426267049,0.261083123439279,2.40995461072379e-09,3.02296836991363e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SELL",1718.80271511033,2.35525541219386,0.425016102952092,2.42560131502117e-09,3.02296836991363e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CCR4",324.933982399006,2.24070762669881,0.405395789020968,2.55120438346943e-09,3.15772701463535e-07,"Normal","IC1_vs_IC2","UP",TRUE
"MYO1G",780.812967023695,1.71597904807928,0.310647912219077,2.58560268969456e-09,3.17853239492996e-07,"Normal","IC1_vs_IC2","UP",TRUE
"MARCO",385.857389575166,3.09761345334515,0.559027427286028,2.64942759650765e-09,3.23182385003562e-07,"Normal","IC1_vs_IC2","UP",TRUE
"KIF21B",695.280852812601,1.41939462410253,0.256948170653476,2.66472112033262e-09,3.23182385003562e-07,"Normal","IC1_vs_IC2","UP",TRUE
"STAMBPL1",317.788943211949,1.06705699785531,0.192420374415616,2.76405419307088e-09,3.32994822153226e-07,"Normal","IC1_vs_IC2","UP",TRUE
"STAP1",112.457225443996,2.43578372356698,0.443555135368203,3.22507023090146e-09,3.85961881739207e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TBX21",110.571314617239,1.73472397482795,0.316792331234967,3.36283044315129e-09,3.99800716698598e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TIGIT",559.211831082826,2.26160283101497,0.413437855858276,3.5689719950119e-09,4.21535247855295e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV30",17.857057434387,2.29003274866031,0.419031941970981,3.62017460581584e-09,4.24806333127909e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRGC1",73.5706238949337,0.00898549288191729,0.223396887522157,3.69091537134193e-09,4.27554690227693e-07,"Normal","IC1_vs_IC2","NS",FALSE
"TARP",73.5706238949337,0.00898549288191729,0.223396887522157,3.69091537134193e-09,4.27554690227693e-07,"Normal","IC1_vs_IC2","NS",FALSE
"FCRL1",161.17664693669,3.68996002393791,0.67253705932218,3.90091271171658e-09,4.43354676814027e-07,"Normal","IC1_vs_IC2","UP",TRUE
"PLCXD2",94.6117888372197,1.46821740005541,0.269070467890916,3.95167165539775e-09,4.4631661552933e-07,"Normal","IC1_vs_IC2","UP",TRUE
"PLEK",2119.28170550543,1.76219300897083,0.323404320204262,4.04700087574474e-09,4.51440449540637e-07,"Normal","IC1_vs_IC2","UP",TRUE
"HLA-DOB",193.354556846845,1.70460926162454,0.312949952475995,4.02369712659647e-09,4.51440449540637e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SP100",4499.54406636472,0.633999774452875,0.11390873506829,4.19148217682821e-09,4.64688800107132e-07,"Normal","IC1_vs_IC2","NS",FALSE
"KLHL6",726.422894035396,1.64016380743685,0.302601025348919,4.6622905900084e-09,5.1373325153684e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FCRL3",248.833783668223,2.78895272893967,0.5120779738075,4.76046015713748e-09,5.21371366664433e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FCRLA",233.101972855497,2.83225851305968,0.523069161539512,4.79419198126746e-09,5.21902670442676e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRBV9",23.4358875607133,2.07215867867864,0.384510243086626,5.005067229959e-09,5.41596227021492e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV3",17.9375067496111,2.1040795558139,0.390801085830953,5.38176204651272e-09,5.78891797276972e-07,"Normal","IC1_vs_IC2","UP",TRUE
"STX11",412.490042671817,1.30465945232914,0.24201273732826,5.68611551942156e-09,6.08010612730574e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CIITA",2154.50155518211,1.39592103781656,0.259099557383458,5.89517557417802e-09,6.26657163535124e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SH2D2A",281.388683199456,1.54194778044731,0.287480225402387,6.40974122417655e-09,6.69540078971644e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV4",16.9264024626476,2.21681655247551,0.414250606090892,6.38581958340381e-09,6.69540078971644e-07,"Normal","IC1_vs_IC2","UP",TRUE
"DPEP2",168.321781413556,1.66351240994212,0.310512194936877,6.50863660901312e-09,6.75963058399288e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TRAV29DV5",19.6065652010312,2.04715182654559,0.383261714104178,6.76319920843833e-09,6.98387273689652e-07,"Normal","IC1_vs_IC2","UP",TRUE
"GAB3",364.079511278558,1.09257554312319,0.202911560975331,6.83273224187988e-09,7.01558547403473e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CD79A",1280.03376175333,2.6535983042735,0.496064512958488,7.29324286610256e-09,7.38782163328539e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CTSC",6123.49708856713,1.36370070218303,0.255766536003368,7.24525346287181e-09,7.38782163328539e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CLEC17A",96.5872789606768,2.70709593039239,0.505941318728269,7.31791307818098e-09,7.38782163328539e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TBC1D10C",808.412702018941,1.89301842704357,0.354685736103479,7.40315502807846e-09,7.43235636180032e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CD3E",1620.22167711278,1.72794047473174,0.32442388985368,7.78992725014969e-09,7.77744615124061e-07,"Normal","IC1_vs_IC2","UP",TRUE
"CD19",265.560900612857,3.19743883307592,0.598145940910796,7.99323521990038e-09,7.93657987136372e-07,"Normal","IC1_vs_IC2","UP",TRUE
"FLI1",1669.26876039158,0.990110920778287,0.184616291293571,8.05227535000749e-09,7.95151190437078e-07,"Normal","IC1_vs_IC2","NS",FALSE
"TRBV2",24.0356901059725,2.17382701729014,0.410801438086528,8.37452023759455e-09,8.18032190343627e-07,"Normal","IC1_vs_IC2","UP",TRUE
"PATL2",99.5148773196744,1.64605674258674,0.309689851369091,8.35867208966625e-09,8.18032190343627e-07,"Normal","IC1_vs_IC2","UP",TRUE
"TAP2",1707.57678461913,1.08083514054936,0.202377900925836,8.73993880031314e-09,8.49136742260531e-07,"Normal","IC1_vs_IC2","UP",TRUE
"ACAP1",1122.53463658264,1.72081158248269,0.324952684507513,9.18341836451946e-09,8.87308086062294e-07,"Normal","IC1_vs_IC2","UP",TRUE
"SPIB",240.663138704832,2.82115044661967,0.53159903938776,9.23102872999342e-09,8.87308086062294e-07,"Normal","IC1_vs_IC2","UP",TRUE
"ARHGAP15",598.601946207023,1.366007043006,0.257706004415807,9.42161643560696e-09,8.9609489793607e-07,"Normal","IC1_vs_IC2","UP",TRUE
"HVCN1",326.105204547931,1.45704701205288,0.274983479686374,9.42103745938349e-09,8.9609489793607e-07,"Normal","IC1_vs_IC2","UP",TRUE
