"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_RETINOIC_ACID",0.860453769212003,1,0.00932505525020652,0.385295380271532,0.690741154504238,36,"DHRS9,ALDH1A1,RARB","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY RETINOIC ACID",3
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",0.982415005861665,1,0.0477188632185394,-0.227902982919908,-0.680479277836231,66,"CSNK1E,PCBP4,GSK3B,NEK11,COP1,SEM1,PSMB5,CHEK1,CCNE2,RBX1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"G1 S DNA DAMAGE CHECKPOINTS",10
"REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING",0.926179911254538,1,0.0264308634155429,-0.27475611717229,-0.661454587332782,26,"PMEPA1,SMAD3,BAMBI","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"DOWNREGULATION OF TGF BETA RECEPTOR SIGNALING",3
"REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY",0.843408972804434,1,0.0148118538177953,0.415147007556194,0.652496848849069,11,"ALPK1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"ALPHA PROTEIN KINASE 1 SIGNALING PATHWAY",1
"REACTOME_ONCOGENIC_MAPK_SIGNALING",0.928930750294338,1,0.00563063110192588,0.33872873039044,0.640647269404562,77,"APBB1IP,JAK2,ARRB2,RAP1A,ZC3HAV1,ARRB1,KSR1,RAP1B,VWF,CSK,ATG7,CAMK2D,MAP2K1,FAM114A2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"ONCOGENIC MAPK SIGNALING",14
"REACTOME_SIGNALING_BY_PTK6",0.91830250765914,1,0.00700505440067636,0.346594973746743,0.640343757942292,52,"ELMO1,PTPN1,LRRK2,NR3C1,DOK1,CCNE1,HBEGF,SOCS3,ARAP1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY PTK6",9
"REACTOME_SIGNALING_BY_WNT",0.989193516109666,1,0.00155601321571533,0.330641057052123,0.634423859825248,272,"PRKCB,GNGT2,RAC2,PDE6G,PLCB2,ARRB2,RSPO3,TCF7","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY WNT",8
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",0.993250843644544,1,0.0463720284138497,-0.213524662105143,-0.631613226158485,64,"FGFR3,GAB2,FGFR1,ATP6V1G2,ATP6V1D,ATP6V1E2,ATP6V0E2,ATP6V1E1,ATP6V0B,FGFR2,ATP6V1H,FGF1,PTPN11,THEM4","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY INSULIN RECEPTOR",14
"REACTOME_NETRIN_1_SIGNALING",0.90546474749939,1,0.00850217489610469,0.351135616871586,0.629500984970305,36,"AGAP2,PRKCQ,UNC5A,NCK1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"NETRIN 1 SIGNALING",4
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",0.987881822734101,1,0.00170023299704414,0.327753656256286,0.628955414893881,250,"GNGT2,DHRS9,APOC1,FKBP5,NR1H3,ALDH1A1,APOE,GNG2,CETP,TFF1,KAT2B,ESR1,NR5A2,S1PR3,RARB,ZDHHC7,HBEGF,SREBF1,NOS3,H4C12,CXCL12,PPID,GNAI2,H3C10,MOV10","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY NUCLEAR RECEPTORS",25
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",0.907440273037543,1,0.0102482262697021,0.357647965064007,0.613714555345912,24,"SEMA4D","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",FALSE,"SEMA4D IN SEMAPHORIN SIGNALING",1
