"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"HALLMARK_PEROXISOME",0.0558904109589041,0.13307240704501,0.142470368773132,-0.391453468534599,-1.29804633069157,96,"ERCC1,EPHX2,CRABP1,HSD11B2,PEX11B,ECH1,PEX14,DIO1,SULT2B1,ALB,PEX6,SLC25A4,CADM1,SERPINA6,CRABP2,SEMA3C,ELOVL5,SCP2,CEL,DHRS3,NUDT19,LONP2,HMGCL,RDH11,HRAS,FABP6,SLC25A17","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"PEROXISOME",27
"HALLMARK_G2M_CHECKPOINT",0.0590243365268142,0.134146219379123,0.0606518687881186,0.458067008427594,1.2853403425339,197,"RBL1,MCM2,CDC25B,LBR,MCM6,STIL,HMMR,MYBL2,HMGB3,PLK1,CCNA2,BRCA2,TGFB1,BUB1,FBXO5,DBF4,POLQ,RAD54L,MAD2L1,INCENP,CENPA,CDC6,EXO1,PLK4,ODC1,SMC1A,KIF23,EZH2,MCM5,CHAF1A,KIF15,KNL1,E2F1,CDC45,E2F3,HIF1A,SMC4,HSPA8,KIF4A,TOP2A,E2F2,TPX2,MKI67,MTF2,E2F4,RACGAP1,NASP,MARCKS,KIF2C,AURKB,CHEK1,AURKA,MAPK14,LMNB1,TTK,ORC6,PML,CDC25A,XPO1,CUL1,CDC7,PRIM2,NSD2,SMC2,DKC1,TACC3,KIF11,NOLC1,KIF20B,MCM3,CENPE,KPNA2,CDKN1B,TENT4A,POLE,CCNF,CDKN2C,HUS1,TMPO","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"G2M CHECKPOINT",79
"HALLMARK_MYC_TARGETS_V2",0.119010212097408,0.258717852385669,0.0816849181752493,-0.414627180003104,-1.25134309509539,56,"RCL1,MYBBP1A,SUPV3L1,PA2G4,SRM,EXOSC5,NDUFAF4,LAS1L,IMP4,HSPE1,MYC,MRTO4,BYSL,SORD,NPM1,MAP3K6","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"MYC TARGETS V2",16
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.145565552699229,0.303261568123393,0.0662690130576484,-0.446251927659827,-1.25140214905211,39,"FZD8,CSNK1E,WNT5B,HDAC5,JAG2,WNT6,FZD1,HDAC11,DVL2,MYC,KAT2A","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"WNT BETA CATENIN SIGNALING",11
"HALLMARK_GLYCOLYSIS",0.164439876670092,0.328879753340185,0.113318868985054,-0.302268427931586,-1.10800089100637,187,"ALDH7A1,MXI1,ANG,MPI,STC2,TFF3,NOL3,EFNA3,B3GALT6,CHST1,CHST4,EGFR,NDUFV3,GOT2,SLC25A10,GAL3ST1,STC1,PDK3,IGFBP3,VEGFA,FAM162A,AK4,FKBP4,GYS1,GPC4,IRS2,CTH,MED24,ARTN,SOD1,VLDLR,HAX1,ALDH9A1,PFKFB1,TPBG,CYB5A,IDUA,SLC37A4,PPP2CB,B4GALT1,SOX9,PKP2","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"GLYCOLYSIS",42
"HALLMARK_UV_RESPONSE_UP",0.251481988144095,0.483619207969413,0.0271217810622462,0.40972349194445,1.13087569230977,152,"TAP1,IRF1,ARRB2,HLA-F,COL2A1,HMOX1,LYN,IL6,CCNE1,SLC6A12,C4BPB,BAK1,MGAT1,CASP3,RASGRP1,ICAM1,TFRC,BMP2,CTSV,GLS,BID,RAB27A,ALAS1,ATF3,GCH1,GPX3,BTG1,FOS,JUNB,SHOX2,ASNS,PDAP1,FOSB,NR4A1,NKX2-5,FEN1,RFC4","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"UV RESPONSE UP",37
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.278034439311214,0.514878591317063,0.0289854798089291,0.47901781162981,1.14328029293047,46,"HHEX,LSP1,FTL,IPCEF1,GLRX,TXNRD1,CDKN2D,GPX3,EGLN2,JUNB,FES","Normal","IC1_vs_IC2","Hallmark","Enriched in High/IC2",FALSE,"REACTIVE OXYGEN SPECIES PATHWAY",11
"HALLMARK_NOTCH_SIGNALING",0.289297171186935,0.516602091405241,0.0434866142149823,-0.420178274200471,-1.11921409445462,31,"HES1,FZD7,SKP1,PSENEN,TCF7L2,WNT5A,FZD1,KAT2A","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"NOTCH SIGNALING",8
"HALLMARK_UV_RESPONSE_DN",0.375473126419379,0.647367459343757,0.0631855595077774,-0.288828186297512,-1.02136207957122,141,"DDAH1,RBPMS,IGF1R,MT1E,NFIB,ACVR2A,MAGI2,MRPS31,RUNX1,DMAC2L,IRS1,KIT,PEX14,MAP2K5,TGFBR3,KCNMA1,APBB2,BMPR1A,SLC67A1,BCKDHB","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"UV RESPONSE DN",20
"HALLMARK_HEDGEHOG_SIGNALING",0.398184568835098,0.663640948058497,0.0370683414687486,-0.37833606828368,-1.02994398362875,34,"SCG2,OPHN1,VEGFA,CRMP1,NRCAM,VLDLR,ADGRG1,NF1,SLIT1,CELSR1,RTN1,LDB1,CNTFR,PTCH1,HEY1,HEY2,AMOT,TLE3","Normal","IC1_vs_IC2","Hallmark","Enriched in Low/IC1",FALSE,"HEDGEHOG SIGNALING",18
