"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING",0.183777777777778,0.362922502334267,0.0480641860346252,-0.581130860794558,-1.26017067872748,13,"NRG2,NRG1,HRAS,NRG3,EREG,ERBB4","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SHC1 EVENTS IN ERBB4 SIGNALING",6
"REACTOME_SIGNALING_BY_LTK",0.202043369474562,0.395668265221018,0.0440560759786921,-0.613093782712658,-1.25100505155775,10,"IRS1,LTK,ALKAL2,PIK3R1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY LTK",4
"REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING",0.211219383723993,0.410219464257341,0.0488744853554749,-0.477396415482863,-1.20239239926788,24,"AREG,FOXO3,EGFR,BCL2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"ESTROGEN DEPENDENT NUCLEAR EVENTS DOWNSTREAM OF ESR MEMBRANE SIGNALING",4
"REACTOME_SIGNALING_BY_ERBB2_IN_CANCER",0.224779234680225,0.432976394670925,0.0476567854784662,-0.466519980965405,-1.18693571716492,25,"NRG2,NRG1,EGFR,PIK3R1,GAB1,HRAS,NRG3,EREG,ERBB4,HSP90AA1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY ERBB2 IN CANCER",10
"REACTOME_MAPK1_MAPK3_SIGNALING",0.245709995709996,0.469445926763,0.0264682798870429,0.392278656357169,1.11619932135004,239,"CSF2RB,JAK3,PTPN7,PRKCQ,CSF2RA,RASAL3,IL2RA,IL2RG,FYN,APBB1IP,ARRB2,VWF,IL2RB,IL6,FGG,CSK,RASGRP4,TEK,IL6R,ANGPT1,PSMD7,RASGRP1,KSR1,JAK2,GFRA2,PSMD2,RASGRP3,MAPK12,GFRA3,FGB,TYK2,KLB,RAP1B,SPTBN5,GRB2,ABHD17B,PRKG2,NEFL,KITLG,RCE1,LYPLA1,MAP2K1,SRC,FGF7,DUSP1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"MAPK1 MAPK3 SIGNALING",45
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION",0.254129850172877,0.478712195121951,0.0369552081269571,0.665798221822878,1.23342451560507,10,"B2M,AP1S2,HLA-A,AP1M1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"NEF MEDIATED DOWNREGULATION OF MHC CLASS I COMPLEX CELL SURFACE EXPRESSION",4
"REACTOME_SIGNALING_BY_NOTCH3",0.254634146341463,0.478712195121951,0.0305190600455216,0.48335442015886,1.16413684874861,47,"IKZF1,STAT1,PTCRA","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY NOTCH3",3
"REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER",0.264986636120657,0.494221107050431,0.0528500333504708,-0.369284178280104,-1.11022124722286,55,"HES1,MAML3,SKP1,PSENEN,HDAC5,JAG2,HDAC11,MYC,KAT2A,RPS27A,MIB1,APH1B,UBA52,HDAC8,HEY1,HEY2,MAML2,CCNC,TBL1X,HDAC2,FBXW7,SNW1,NCSTN","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS IN CANCER",23
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",0.279630943931867,0.517427337196761,0.0259326721551838,0.413223112641751,1.11877545735389,124,"PRKCB,RAC2,PDE6G,ARRB2,PLCB2,NFATC1,GNGT2,ITPR3,WNT11,PSMD7,GNG2,PSMD2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"BETA CATENIN INDEPENDENT WNT SIGNALING",12
"REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS",0.294956308447034,0.533190249885022,0.0295625996473468,0.511837686812679,1.14351492942926,30,"STAT1,NLRP3,IKBKE,IKBKG,CHUK,PTPN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"TURBULENT OSCILLATORY DISTURBED FLOW SHEAR STRESS ACTIVATES SIGNALING BY PIEZO1 AND INTEGRINS IN ENDOTHELIAL CELLS",6
