"feature","feature_clean","method","mean_g1","mean_g2","diff","p_value","group1","group2","higher_in","FDR","significant","bio_type"
"GSVA_T_exhaustion","T_exhaustion","GSVA",-0.538813276762362,0.994732203253591,1.53354548001595,2.69754435022692e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Suppressive"
"GSVA_T_cells_CD8","T_cells_CD8","GSVA",-0.505065715231415,0.93242901273492,1.43749472796634,3.67486067530463e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Cytotoxic/NK"
"quanTIseq_Tregs","Tregs","quanTIseq",-0.497680651075127,0.918795048138696,1.41647569921382,5.8006315466399e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Suppressive"
"GSVA_Dendritic_cells","Dendritic_cells","GSVA",-0.44313920054058,0.818103139459532,1.26124234000011,5.8006315466399e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"Myeloid/APC"
"xCell_B-cells","B-cells","xCell",-0.386252240671252,0.713081059700774,1.09933330037203,2.4216243250548e-06,"IC1","IC2","IC2",5.18189751499831e-05,TRUE,"B cell/Humoral"
"GSVA_HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","GSVA",-0.562898219303369,1.03919671256007,1.60209493186343,6.74074263226842e-06,"IC1","IC2","IC2",5.31329125131746e-05,TRUE,"Other (GSVA)"
"ssGSEA_T_exhaustion","T_exhaustion","ssGSEA",-0.552436251438295,1.01988231034762,1.57231856178592,6.74074263226842e-06,"IC1","IC2","IC2",5.31329125131746e-05,TRUE,"Suppressive"
"ssGSEA_HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","ssGSEA",-0.533522015447416,0.984963720825999,1.51848573627342,1.05164900397744e-05,"IC1","IC2","IC2",6.71052221585603e-05,TRUE,"Inflammatory"
"ssGSEA_IFN_gamma_response","IFN_gamma_response","ssGSEA",-0.52785326091785,0.974498327848338,1.50235158876619,1.05164900397744e-05,"IC1","IC2","IC2",6.71052221585603e-05,TRUE,"Inflammatory"
"GSVA_HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","GSVA",-0.480543067239273,0.887156431826351,1.36769949906562,1.05164900397744e-05,"IC1","IC2","IC2",6.71052221585603e-05,TRUE,"Inflammatory"
"xCell_DC","DC","xCell",-0.457855996286984,0.845272608529817,1.3031286048168,1.02654836526071e-05,"IC1","IC2","IC2",6.71052221585603e-05,TRUE,"Myeloid/APC"
"MCP_CD8 T cells","CD8 T cells","MCP",-0.502670564857957,0.928007196660844,1.4306777615188,1.2173469918847e-05,"IC1","IC2","IC2",7.41474985966133e-05,TRUE,"Cytotoxic/NK"
"MCP_T cells","T cells","MCP",-0.534903892148521,0.987514877812654,1.52241876996118,1.40778468821298e-05,"IC1","IC2","IC2",7.54572592882157e-05,TRUE,"Pan-immune score"
